S.No,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,w
264,Andhra Pradesh,KURNOOL,2014,Whole Year ,Rice,114898,444262,1
265,Assam,GOLAGHAT,2014,Winter     ,Paddy,114163,256004,1
266,Assam,GOLAGHAT,2014,Winter     ,Rice,114163,256004,2
267,Odisha,JAJAPUR,2014,Winter     ,Rice,114000,221000,1
268,Punjab,BARNALA,2014,Rabi       ,Wheat,114000,527000,1
269,Uttarakhand,UDAM SINGH NAGAR,2014,Whole Year ,Rice,113632,368655,1
270,Maharashtra,BEED,2014,Kharif     ,Soyabean,113400,39900,1
271,Uttar Pradesh,HAMIRPUR,2014,Rabi       ,Wheat,113329,171992,1
272,Maharashtra,LATUR,2014,Kharif     ,Arhar/Tur,113200,28300,1
273,Maharashtra,OSMANABAD,2014,Rabi       ,Gram,112900,48700,1
274,Telangana ,NIZAMABAD,2014,Kharif     ,Rice,112427,404400,1
275,Maharashtra,YAVATMAL,2014,Kharif     ,Arhar/Tur,111800,25500,1
276,Telangana ,MAHBUBNAGAR,2014,Kharif     ,Rice,111302,282357,1
277,Maharashtra,NAGPUR,2014,Kharif     ,Cotton(lint),111300,150200,1
278,Maharashtra,KOLHAPUR,2014,Kharif     ,Rice,110900,335200,1
279,Telangana ,MEDAK,2014,Kharif     ,Maize,110476,170464,1
280,Telangana ,KHAMMAM,2014,Kharif     ,Rice,110439,328435,1
281,Uttar Pradesh,FAIZABAD,2014,Rabi       ,Wheat,110261,227138,1
282,Punjab,KAPURTHALA,2014,Rabi       ,Wheat,110000,429000,1
283,Bihar,PASHCHIM CHAMPARAN,2014,Winter     ,Rice,109718,289137,1
284,Uttarakhand,ALMORA,2014,Whole Year ,Total foodgrain,109687,127411,1
285,Maharashtra,JALNA,2014,Kharif     ,Soyabean,109300,40300,1
286,Chhattisgarh,KORBA,2014,Kharif     ,Rice,109135,164065,1
287,Bihar,MUZAFFARPUR,2014,Winter     ,Rice,108886,215461,1
288,Chhattisgarh,MUNGELI,2014,Kharif     ,Rice,108824,220811,1
289,Uttar Pradesh,BALRAMPUR,2014,Kharif     ,Rice,108030,198235,1
290,Punjab,BARNALA,2014,Kharif     ,Rice,108000,507000,1
291,Uttar Pradesh,BULANDSHAHR,2014,Kharif     ,Rice,107595,275551,1
292,Maharashtra,AURANGABAD,2014,Rabi       ,Jowar,107100,44900,1
293,Chhattisgarh,SURAJPUR,2014,Kharif     ,Rice,106865,196547,1
294,Punjab,FARIDKOT,2014,Kharif     ,Rice,106000,421000,1
295,Telangana ,ADILABAD,2014,Kharif     ,Soyabean,105907,87585,1
296,Karnataka,SHIMOGA,2014,Kharif     ,Rice,105581,313744,1
297,Andhra Pradesh,VISAKHAPATANAM,2014,Whole Year ,Rice,105428,177807,1
298,Andhra Pradesh,PRAKASAM,2014,Whole Year ,Rice,105297,405915,1
299,Karnataka,HAVERI,2014,Kharif     ,Cotton(lint),105249,211727,1
300,Karnataka,RAICHUR,2014,Kharif     ,Cotton(lint),104970,302671,1
301,West Bengal,MURSHIDABAD,2014,Rabi       ,Wheat,104907,300497,1
302,Karnataka,BAGALKOT,2014,Rabi       ,Jowar,104822,102867,1
303,Uttar Pradesh,AURAIYA,2014,Rabi       ,Wheat,104341,236332,1
304,Uttar Pradesh,BASTI,2014,Kharif     ,Rice,104328,202814,1
305,Uttar Pradesh,SULTANPUR,2014,Rabi       ,Wheat,104295,238836,1
306,Uttar Pradesh,RAE BARELI,2014,Kharif     ,Rice,104251,246449,1
